1 Section 01-17
(250)plague	疫病
(327)infection	伝染、感染

# Words related to the military
(141)disarmament	軍備縮小
(421)troop	軍隊
(424)armed forces	全軍

# Words related to large number
(153)enormous	莫大な
(352)tremendous	大きな、莫大な
(418)numerous	多くの
(433)immense	巨大な、莫大な
(174)vast	膨大な
(230)massive	極めて大きい
(456)overwhelming	圧倒的な

# Words related to expert
(043)attorney	弁護士
(485)linguist	言語学者
(056)biologist	生物学者
(241)ecologist	生態学者
(460)psychologist	心理学者
(487)anthropologist	人類学者
(227)astronomer	天文学者
(228)astronaut	宇宙飛行士
(321)physician	医師
(324)surgeon	外科医

(186)contempt (for ...)	(名)(...に対する)軽蔑
(376)insult	侮辱

(272)the other way around	(副,形)正反対に[な]
(375)on the contrary	それどころか

(153)claim ...	...だと主張[断言]する
(183)exclaim (...)	(...と)語気を強めて言う
(224)contend that ~	~だと力説する
(455)argue (that ~)	(~だと)主張する

(466)in sight	(副)視界に
(505)at a glance	(副)一目見て
(312)catch[get/have] a glimpse of ...	...を一瞬目にする
(464)catch sight of ...	...をちらっと見かける
(463)perceive ...	(動)...に気付く
(466)stare (at ...)	(...を)じっと見つめる

(302)hazardous	有害な
(318)harmful (to...)	(...に対して)有害な

(307)litter (...)	(...に)ゴミを投げ捨てる
(445)do away with ...	...を捨てる

(028)competent	(形)能力[技能]を持つ
(043)prominent	傑出した、著名な
(348)prestigious	権威のある
(460)noted	有名な、著名な
(481)splendid	素晴らしい

(437)controversy	論争、議論
(453)dispute	論争、紛争
(454)congress	議会

(158)obscure	(意味などが)曖昧な
(404)vague	曖昧な、漠然とした
(501)ambiguous	曖昧な

(420)notorious	悪名高い
(488)wicked	意地の悪い

(220)it's no use[good] doing	(定)doingしても無駄だ
(373)there's no point in doing	(定)doingするのは無駄だ

(531)deceive ...	...をだます
(539)be taken in by ...	...にだまされる

(423)adopt ...	...を採用する
(358)adapt to ...	...に順応する
(509)adjust to ...	...に順応する

(425)not ... any longer	(副)これ以上...ない
(438)no longer...	(副)もはや...ない

(472)all of a sudden	(副)突然
(550)all at once	(副)突然

(371)resist (...)	(...を)我慢する
(526)stand ...	...に我慢する

(307)be subject to ...	...を受ける場合がある  [is subject to a maximum fine of $500]
(525)be open to ...	(動)...を受けやすい        [is open to misunderstanding]

(321)for the time being	当分の間は
(423)for the moment	(副)今のところは

(287)at the expense of ...	...を犠牲にして
(337)at all costs	どんな犠牲を払っても
(401)sacrifice ...	...を犠牲にする

(378)get by (on...)	(...で)何とか生活していく
(378)make ends meet	何とかやりくりする
(353)live from hand to mouth	その日暮らしをする

(214)Interstate	幹線道路
(219)intersection	交差点

(328)be obliged to do	doせざるを得ない     [The minister was obliged to resign]
(428)be reluctant to do	doすることに気が進まない
(402)reconcile oneself to ...	(動)...を仕方なく受け入れる [reconcile myself to my fate]

(406)corruption	汚職、不正、贈賄
(407)fraud	不正、詐欺
(407)scheme	企み、陰謀

(453)meet ... halfway	...と妥協する
(027)compromise (...)	(...について)妥協する

(329)compulsory	強制的な、義務の
(329)obligatory	強制的な、義務の
(329)mandatory	強制的な、義務の
